DEBUG    | 2026-01-20 09:00:58 | correlation.py:40 | dispatch() | GET /api/v1/chat/threads cid=7c1960636c354dfe8559ed2d012320b9 time_ms=0.30
INFO     | 2026-01-20 09:00:58 | httptools_impl.py:468 | send() | 127.0.0.1:50786 - "GET /api/v1/chat/threads?limit=50 HTTP/1.1" 401
DEBUG    | 2026-01-20 09:00:58 | correlation.py:40 | dispatch() | GET /api/v1/llm/models cid=c3177dec3b0945578476db702282fc49 time_ms=0.29
INFO     | 2026-01-20 09:00:58 | httptools_impl.py:468 | send() | 127.0.0.1:50786 - "GET /api/v1/llm/models HTTP/1.1" 401
DEBUG    | 2026-01-20 09:00:58 | correlation.py:40 | dispatch() | GET /api/v1/chat/threads cid=f5bd9a25052d443d8f68717c07eda0ac time_ms=0.30
INFO     | 2026-01-20 09:00:58 | httptools_impl.py:468 | send() | 127.0.0.1:50786 - "GET /api/v1/chat/threads?limit=50 HTTP/1.1" 401
DEBUG    | 2026-01-20 09:00:58 | correlation.py:40 | dispatch() | GET /api/v1/llm/models cid=0e8fa28298c14f379b2771e938e321f0 time_ms=0.23
INFO     | 2026-01-20 09:00:58 | httptools_impl.py:468 | send() | 127.0.0.1:50787 - "GET /api/v1/llm/models HTTP/1.1" 401
DEBUG    | 2026-01-20 09:01:16 | correlation.py:40 | dispatch() | GET /api/v1/chat/threads cid=1af018029ec14b46a9bc7877769a9026 time_ms=0.36
INFO     | 2026-01-20 09:01:16 | httptools_impl.py:468 | send() | 127.0.0.1:50941 - "GET /api/v1/chat/threads?limit=50 HTTP/1.1" 401
DEBUG    | 2026-01-20 09:01:16 | correlation.py:40 | dispatch() | GET /api/v1/llm/models cid=07f61ad1ca2844c8a7387358aeff2ab8 time_ms=0.35
INFO     | 2026-01-20 09:01:16 | httptools_impl.py:468 | send() | 127.0.0.1:50942 - "GET /api/v1/llm/models HTTP/1.1" 401
DEBUG    | 2026-01-20 09:01:16 | correlation.py:40 | dispatch() | GET /api/v1/chat/threads cid=0a80f48b1ea2492eb74d10ac608e637f time_ms=0.57
INFO     | 2026-01-20 09:01:16 | httptools_impl.py:468 | send() | 127.0.0.1:50941 - "GET /api/v1/chat/threads?limit=50 HTTP/1.1" 401
DEBUG    | 2026-01-20 09:01:16 | correlation.py:40 | dispatch() | GET /api/v1/llm/models cid=f10941ba6c284b6cb8fd32a6d6a464da time_ms=0.40
INFO     | 2026-01-20 09:01:16 | httptools_impl.py:468 | send() | 127.0.0.1:50942 - "GET /api/v1/llm/models HTTP/1.1" 401
INFO     | 2026-01-20 09:01:20 | httptools_impl.py:468 | send() | 127.0.0.1:50990 - "OPTIONS /api/v1/todo/1 HTTP/1.1" 200
INFO     | 2026-01-20 09:01:20 | base.py:2701 | _connection_begin_impl() | BEGIN (implicit)
INFO     | 2026-01-20 09:01:20 | base.py:1846 | _execute_context() | SELECT t_user.id AS t_user_id, t_user.username AS t_user_username, t_user.password AS t_user_password, t_user.mobile AS t_user_mobile, t_user.createtime AS t_user_createtime, t_user.updatetime AS t_user_updatetime 
FROM t_user 
WHERE t_user.id = %(pk_1)s::INTEGER
INFO     | 2026-01-20 09:01:20 | base.py:1846 | _execute_context() | [cached since 2514s ago] {'pk_1': 2}
INFO     | 2026-01-20 09:01:20 | base.py:1846 | _execute_context() | SELECT t_todo.id, t_todo.user_id, t_todo.title, t_todo.description, t_todo.start_time, t_todo.due_date, t_todo.actual_completion_time, t_todo.status, t_todo.progress, t_todo.progress_notes, t_todo.priority, t_todo.category, t_todo.tags, t_todo.reminder_enabled, t_todo.reminder_type, t_todo.reminder_advance_minutes, t_todo.reminder_times, t_todo.last_reminded_at, t_todo.is_deleted, t_todo.is_recurring, t_todo.recurrence_pattern, t_todo.recurrence_interval, t_todo.recurrence_days, t_todo.recurrence_end_date, t_todo.parent_recurring_id, t_todo.parent_id, t_todo.task_order, t_todo.depth_level, t_todo.create_time, t_todo.update_time, t_todo.extra_data 
FROM t_todo 
WHERE t_todo.id = %(id_1)s::INTEGER AND t_todo.user_id = %(user_id_1)s::INTEGER
INFO     | 2026-01-20 09:01:20 | base.py:1846 | _execute_context() | [generated in 0.00038s] {'id_1': 1, 'user_id_1': 2}
INFO     | 2026-01-20 09:01:20 | base.py:1846 | _execute_context() | UPDATE t_todo SET title=%(title)s::VARCHAR, description=%(description)s::VARCHAR, due_date=%(due_date)s::TIMESTAMP WITHOUT TIME ZONE, status=%(status)s::VARCHAR, progress=%(progress)s::INTEGER, progress_notes=%(progress_notes)s::VARCHAR, priority=%(priority)s::INTEGER, update_time=%(update_time)s::TIMESTAMP WITHOUT TIME ZONE WHERE t_todo.id = %(id_1)s::INTEGER AND t_todo.user_id = %(user_id_1)s::INTEGER
INFO     | 2026-01-20 09:01:20 | base.py:1846 | _execute_context() | [generated in 0.00023s] {'title': '吃饭', 'description': '', 'due_date': '2026-01-29 09:00', 'status': 'done', 'progress': 100, 'progress_notes': '哈哈哈哈哈', 'priority': 1, 'update_time': datetime.datetime(2026, 1, 20, 9, 1, 20, 200717), 'id_1': 1, 'user_id_1': 2}
INFO     | 2026-01-20 09:01:20 | base.py:2707 | _connection_commit_impl() | COMMIT
INFO     | 2026-01-20 09:01:20 | base.py:2701 | _connection_begin_impl() | BEGIN (implicit)
INFO     | 2026-01-20 09:01:20 | base.py:1846 | _execute_context() | SELECT t_todo.id, t_todo.user_id, t_todo.title, t_todo.description, t_todo.start_time, t_todo.due_date, t_todo.actual_completion_time, t_todo.status, t_todo.progress, t_todo.progress_notes, t_todo.priority, t_todo.category, t_todo.tags, t_todo.reminder_enabled, t_todo.reminder_type, t_todo.reminder_advance_minutes, t_todo.reminder_times, t_todo.last_reminded_at, t_todo.is_deleted, t_todo.is_recurring, t_todo.recurrence_pattern, t_todo.recurrence_interval, t_todo.recurrence_days, t_todo.recurrence_end_date, t_todo.parent_recurring_id, t_todo.parent_id, t_todo.task_order, t_todo.depth_level, t_todo.create_time, t_todo.update_time, t_todo.extra_data 
FROM t_todo 
WHERE t_todo.id = %(pk_1)s::INTEGER
INFO     | 2026-01-20 09:01:20 | base.py:1846 | _execute_context() | [generated in 0.00110s] {'pk_1': 1}
INFO     | 2026-01-20 09:01:20 | base.py:1846 | _execute_context() | INSERT INTO t_todo_history (todo_id, user_id, action, changed_fields, old_values, new_values, confirmed_by_user, operation_time) VALUES (%(todo_id)s::INTEGER, %(user_id)s::INTEGER, %(action)s::VARCHAR, %(changed_fields)s::JSON, %(old_values)s::JSON, %(new_values)s::JSON, %(confirmed_by_user)s, %(operation_time)s::TIMESTAMP WITHOUT TIME ZONE) RETURNING t_todo_history.id
INFO     | 2026-01-20 09:01:20 | base.py:1846 | _execute_context() | [generated in 0.00024s] {'todo_id': 1, 'user_id': 2, 'action': 'update', 'changed_fields': Json(['title', 'description', 'priority' ... (103 chars)), 'old_values': Json({'title': '吃饭', 'description': '',  ... (170 chars)), 'new_values': Json({'title': '吃饭', 'description': '',  ... (170 chars)), 'confirmed_by_user': False, 'operation_time': datetime.datetime(2026, 1, 20, 9, 1, 20, 232988)}
INFO     | 2026-01-20 09:01:20 | base.py:2707 | _connection_commit_impl() | COMMIT
INFO     | 2026-01-20 09:01:20 | base.py:2701 | _connection_begin_impl() | BEGIN (implicit)
